컴퓨터활용능력 1급(필기+실기) 자격증 취득,하이컴퓨터그래픽전산회계학원,21/05/03~21/06/08,210503,210608,25일  총100시간,49.4,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000300519&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020019063#undefined,37.3179032,126.8356354
컴퓨터활용능력1급자격증(실기),인천더조은컴퓨터아트학원,21/05/03~21/05/28,210503,210528,18일  총90시간,55.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000300219&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020037783#undefined,37.507846,126.7320431
제과제빵 기능사 자격 취득과정(이론 및 실기),행복한학원,21/05/03~21/07/12,210503,210712,49일  총196시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000299426&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020013488#undefined,37.5612647,126.8558686
한식조리기능사자격 취득과정(이론/실기),조해성요리학원,21/05/03~21/06/10,210503,210610,27일  총108시간,40.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000299164&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020025903#undefined,36.6330456,127.440525
건축캐드원 양성(AutoCAD & Sketchup),대화직업능력개발원,21/05/03~21/06/29,210503,210629,40일  총160시간,50,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000298917&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020025779#undefined,35.1880671,126.8985889
컴퓨터활용능력 2급(필기+실기),이지디자인컴퓨터학원,21/05/03~21/06/01,210503,210601,20일  총80시간,50.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000298657&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020054778#undefined,36.6348493,127.4577539
요양보호사 자격 취득과정,세종고운간호전문학원(부설 세종고운요양보호사 교육원),21/05/03~21/06/18,210503,210618,33일  총240시간,67.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000298095&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020057795#undefined,36.6019147,127.2965275
제과제빵자격증취득,봄뜰제과제빵학원,21/05/03~21/07/13,210503,210713,50일  총200시간,40.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000297831&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020043704#undefined,35.1039493,128.9732833
전산회계1급 + 전산세무2급 자격증,모현컴퓨터학원,21/05/03~21/07/09,210503,210709,48일  총180시간,50,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000297629&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020041467#undefined,37.3349569,127.2494774
병원코디네이터 실무과정,정연화의료서비스아카데미전문학원,21/05/03~21/05/27,210503,210527,20일  총120시간,47.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000297366&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020053146#undefined,35.1749484,129.0664255
전기기능사 취득과정[실기],안양대산전기기술학원,21/05/03~21/06/14,210503,210614,16일  총80시간,52.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000296261&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020027072#undefined,37.3978756,126.9229171
전산응용건축제도기능사 실기,동방디자인학원,21/05/03~21/06/02,210503,210602,21일  총132시간,54.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000295682&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020060840#undefined,37.4996862,127.0289534
회계실무자 양성과정(FAT1급+TAT2급),상아탑컴퓨터학원,21/05/03~21/07/15,210503,210715,42일  총161시간,66.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000294983&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020019296#undefined,37.2813341,127.4410815
전기기능사자격증취득과정(실기),제일전기직업전문학교,21/05/03~21/06/25,210503,210625,30일  총90시간,59.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000294660&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020025638#undefined,37.2662193,127.0023471
청소전문가양성과정(이론&실무),내일직업전문학원,21/05/03~21/06/23,210503,210623,36일  총139시간,58.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000292726&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500034256434#undefined,36.3454918,127.3823544
